timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1559634723607,164,Buy_19 /ShopItV60/main.asp,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-2,,true,,1652,501,3,3,null,164,4,0
1559634723628,169,Buy_23 /ShopItV60/basket.asp,200,OK,Thread Group 1-3,text,true,,1653,500,3,3,http://demo.borland.com/ShopItV60/basket.asp?code=8,169,0,0
1559634723627,169,Buy_19 /ShopItV60/main.asp,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-3,,true,,1653,500,3,3,null,169,2,0
1559634723647,173,Buy_23 /ShopItV60/basket.asp,200,OK,Thread Group 1-1,text,true,,1653,500,3,3,http://demo.borland.com/ShopItV60/basket.asp?code=8,173,0,0
1559634723647,173,Buy_19 /ShopItV60/main.asp,200,"Number of samples in transaction : 1, number of failing samples : 0",Thread Group 1-1,,true,,1653,500,3,3,null,173,1,0
1559634723776,136,Checkout_42 /ShopItV60/main.asp,200,OK,Thread Group 1-2,text,true,,1611,503,3,3,http://demo.borland.com/ShopItV60/main.asp,136,0,0
1559634723798,136,Checkout_42 /ShopItV60/main.asp,200,OK,Thread Group 1-3,text,true,,1611,502,3,3,http://demo.borland.com/ShopItV60/main.asp,136,0,0
1559634723822,256,Checkout_42 /ShopItV60/main.asp,200,OK,Thread Group 1-1,text,true,,1611,502,3,3,http://demo.borland.com/ShopItV60/main.asp,256,0,127
1559634723914,272,Checkout_43 /ShopItV60/checkout.asp,200,OK,Thread Group 1-2,text,true,,2017,498,3,3,http://demo.borland.com/ShopItV60/checkout.asp,271,0,133
1559634723935,259,Checkout_43 /ShopItV60/checkout.asp,200,OK,Thread Group 1-3,text,true,,2019,497,3,3,http://demo.borland.com/ShopItV60/checkout.asp,258,0,127
1559634724079,130,Checkout_43 /ShopItV60/checkout.asp,200,OK,Thread Group 1-1,text,true,,2018,497,3,3,http://demo.borland.com/ShopItV60/checkout.asp,130,0,0
1559634724201,133,Checkout_44 /ShopItV60/kindofpayment.asp,200,OK,Thread Group 1-3,text,true,,567,549,3,3,http://demo.borland.com/ShopItV60/kindofpayment.asp?choice=CreditCard&price=89.9&sid=750610626,133,0,0
1559634724211,127,Checkout_44 /ShopItV60/kindofpayment.asp,200,OK,Thread Group 1-1,text,true,,567,549,3,3,http://demo.borland.com/ShopItV60/kindofpayment.asp?choice=CreditCard&price=89.9&sid=750610627,127,0,0
1559634724201,140,Checkout_44 /ShopItV60/kindofpayment.asp,200,OK,Thread Group 1-2,text,true,,567,550,3,3,http://demo.borland.com/ShopItV60/kindofpayment.asp?choice=CreditCard&price=39.9&sid=750610625,140,0,0
1559634724335,137,Checkout_45 /ShopItV60/card.asp,200,OK,Thread Group 1-3,text,true,,2174,559,3,3,http://demo.borland.com/ShopItV60/card.asp?sid=750610626,136,0,0
1559634724339,137,Checkout_45 /ShopItV60/card.asp,200,OK,Thread Group 1-1,text,true,,2173,559,3,3,http://demo.borland.com/ShopItV60/card.asp?sid=750610627,136,0,0
1559634724343,142,Checkout_45 /ShopItV60/card.asp,200,OK,Thread Group 1-2,text,true,,2173,560,3,3,http://demo.borland.com/ShopItV60/card.asp?sid=750610625,142,0,0
1559634724473,132,Checkout_47 /ShopItV60/acknowledge.asp,200,OK,Thread Group 1-3,text,true,,1642,716,3,3,http://demo.borland.com/ShopItV60/acknowledge.asp,131,0,0
1559634724477,131,Checkout_47 /ShopItV60/acknowledge.asp,200,OK,Thread Group 1-1,text,true,,1642,716,3,3,http://demo.borland.com/ShopItV60/acknowledge.asp,130,0,0
1559634724486,138,Checkout_47 /ShopItV60/acknowledge.asp,200,OK,Thread Group 1-2,text,true,,1642,717,3,3,http://demo.borland.com/ShopItV60/acknowledge.asp,138,0,0
1559634724606,129,Checkout_48 /ShopItV60/thanks.asp,200,OK,Thread Group 1-3,text,true,,1268,502,3,3,http://demo.borland.com/ShopItV60/thanks.asp,129,0,0
1559634724608,131,Checkout_48 /ShopItV60/thanks.asp,200,OK,Thread Group 1-1,text,true,,1268,502,3,3,http://demo.borland.com/ShopItV60/thanks.asp,131,0,0
1559634724625,136,Checkout_48 /ShopItV60/thanks.asp,200,OK,Thread Group 1-2,text,true,,1269,503,3,3,http://demo.borland.com/ShopItV60/thanks.asp,136,0,0
1559634724738,129,Checkout_49 /ShopItV60/fin.asp,200,OK,Thread Group 1-3,text,true,,1320,412,3,3,http://demo.borland.com/ShopItV60/fin.asp,129,0,0
1559634724741,129,Checkout_49 /ShopItV60/fin.asp,200,OK,Thread Group 1-1,text,true,,1320,412,3,3,http://demo.borland.com/ShopItV60/fin.asp,129,0,0
